year,language,popularity
1990,Python,5
1990,JavaScript,0
1990,Java,80
1990,C++,90
1990,C#,0
1990,Ruby,10
1990,Go,0
1990,Rust,0
1995,Python,15
1995,JavaScript,5
1995,Java,85
1995,C++,80
1995,C#,10
1995,Ruby,30
1995,Go,0
1995,Rust,0
2000,Python,30
2000,JavaScript,20
2000,Java,90
2000,C++,70
2000,C#,40
2000,Ruby,50
2000,Go,0
2000,Rust,0
2005,Python,50
2005,JavaScript,60
2005,Java,85
2005,C++,60
2005,C#,60
2005,Ruby,55
2005,Go,5
2005,Rust,0
2010,Python,80
2010,JavaScript,85
2010,Java,80
2010,C++,50
2010,C#,65
2010,Ruby,45
2010,Go,15
2010,Rust,0
2015,Python,95
2015,JavaScript,95
2015,Java,75
2015,C++,45
2015,C#,60
2015,Ruby,35
2015,Go,35
2015,Rust,10
2020,Python,100
2020,JavaScript,100
2020,Java,70
2020,C++,40
2020,C#,55
2020,Ruby,25
2020,Go,60
2020,Rust,45
