year,language,popularity
1990,C,80.5
1990,C++,15.2
1990,Java,0
1990,Python,0
1990,JavaScript,0
1992,C,75.3
1992,C++,20.4
1992,Java,0
1992,Python,0.5
1992,JavaScript,0
1994,C,70.1
1994,C++,22.3
1994,Java,2.1
1994,Python,1.2
1994,JavaScript,0
1996,C,65.2
1996,C++,20.1
1996,Java,8.5
1996,Python,2.0
1996,JavaScript,4.2
1998,C,60.5
1998,C++,18.2
1998,Java,15.3
1998,Python,2.5
1998,JavaScript,8.5
2000,C,55.3
2000,C++,16.5
2000,Java,22.4
2000,Python,3.2
2000,JavaScript,12.6
2002,C,50.2
2002,C++,15.3
2002,Java,28.5
2002,Python,4.5
2002,JavaScript,15.5
2004,C,45.1
2004,C++,14.2
2004,Java,32.6
2004,Python,6.8
2004,JavaScript,18.3
2006,C,40.5
2006,C++,13.5
2006,Java,35.2
2006,Python,9.2
2006,JavaScript,20.6
2008,C,35.8
2008,C++,12.8
2008,Java,36.5
2008,Python,12.5
2008,JavaScript,22.4
2010,C,30.5
2010,C++,11.2
2010,Java,35.8
2010,Python,16.2
2010,JavaScript,25.3
2012,C,25.3
2012,C++,10.5
2012,Java,33.2
2012,Python,20.5
2012,JavaScript,28.5
2014,C,20.5
2014,C++,9.8
2014,Java,30.2
2014,Python,25.3
2014,JavaScript,30.2
2016,C,18.2
2016,C++,8.5
2016,Java,28.5
2016,Python,28.8
2016,JavaScript,32.0
2018,C,15.5
2018,C++,7.2
2018,Java,25.3
2018,Python,32.5
2018,JavaScript,33.5
2020,C,12.8
2020,C++,6.5
2020,Java,22.2
2020,Python,35.8
2020,JavaScript,38.7
2022,C,10.5
2022,C++,5.8
2022,Java,20.1
2022,Python,38.2
2022,JavaScript,40.4
2024,C,9.2
2024,C++,5.2
2024,Java,18.5
2024,Python,40.5
2024,JavaScript,42.6
