year,C,C++,Java,Python,JavaScript,Ruby,Go,Swift,Rust,TypeScript
1990,80.5,15.2,0,0,0,0,0,0,0,0
1992,75.3,20.4,0,0.5,0,0,0,0,0,0
1994,70.1,22.3,2.1,1.2,0,0,0,0,0,0
1996,65.2,20.1,8.5,2.0,4.2,0,0,0,0,0
1998,60.5,18.2,15.3,2.5,8.5,0.5,0,0,0,0
2000,55.3,16.5,22.4,3.2,12.6,1.5,0,0,0,0
2002,50.2,15.3,28.5,4.5,15.5,2.8,0,0,0,0
2004,45.1,14.2,32.6,6.8,18.3,3.5,0,0,0,0
2006,40.5,13.5,35.2,9.2,20.6,4.2,0,0,0,0
2008,35.8,12.8,36.5,12.5,22.4,4.8,0.5,0,0,0
2010,30.5,11.2,35.8,16.2,25.3,5.2,1.2,0,0,0
2012,25.3,10.5,33.2,20.5,28.5,5.5,2.8,0,0,0
2014,20.5,9.8,30.2,25.3,30.2,5.2,4.5,1.5,0.5,0
2016,18.2,8.5,28.5,28.8,32.0,4.8,6.2,3.2,1.2,2.5
2018,15.5,7.2,25.3,32.5,33.5,4.2,8.5,5.5,2.8,5.8
2020,12.8,6.5,22.2,35.8,34.7,3.5,10.2,7.8,4.5,9.2
2022,10.5,5.8,20.1,38.2,35.4,2.8,11.5,9.2,6.5,12.8
2024,9.2,5.2,18.5,40.5,36.6,2.2,12.8,10.5,8.2,15.5
