year,Brazil,Germany,Italy,Argentina,France,Uruguay,England,Spain
1930,0,0,0,0,0,1,0,0
1934,0,0,1,0,0,1,0,0
1938,0,0,2,0,0,1,0,0
1950,0,0,2,0,0,2,0,0
1954,0,1,2,0,0,2,0,0
1958,1,1,2,0,0,2,0,0
1962,2,1,2,0,0,2,0,0
1966,2,1,2,0,0,2,1,0
1970,3,1,2,0,0,2,1,0
1974,3,2,2,0,0,2,1,0
1978,3,2,2,1,0,2,1,0
1982,3,2,3,1,0,2,1,0
1986,3,2,3,2,0,2,1,0
1990,3,3,3,2,0,2,1,0
1994,4,3,3,2,0,2,1,0
1998,4,3,3,2,1,2,1,0
2002,5,3,3,2,1,2,1,0
2006,5,3,4,2,1,2,1,0
2010,5,3,4,2,1,2,1,1
2014,5,4,4,2,1,2,1,1
2018,5,4,4,2,2,2,1,1
2022,5,4,4,3,2,2,1,1
