year,Germany,Spain,France,Italy,Soviet Union,Czechoslovakia,Netherlands,Denmark,Greece,Portugal,England,Belgium,Croatia,Sweden
1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1968,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1972,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1976,1,1,0,1,1,1,0,0,0,0,0,0,0,0
1980,2,1,0,1,1,1,0,0,0,0,0,0,0,0
1984,2,1,1,1,1,1,0,0,0,0,0,0,0,0
1988,2,1,1,1,1,1,1,0,0,0,0,0,0,0
1992,2,1,1,1,1,1,1,1,0,0,0,0,0,0
1996,3,1,1,1,1,1,1,1,0,0,0,0,0,0
2000,3,1,2,1,1,1,1,1,0,0,0,0,0,0
2004,3,1,2,1,1,1,1,1,1,0,0,0,0,0
2008,3,2,2,1,1,1,1,1,1,0,0,0,0,0
2012,3,3,2,1,1,1,1,1,1,0,0,0,0,0
2016,3,3,2,1,1,1,1,1,1,1,0,0,0,0
2020,3,3,2,2,1,1,1,1,1,1,0,0,0,0
2024,3,3,2,2,1,1,1,1,1,1,0,0,0,0
