year,Indonesia,Vietnam,Philippines,Thailand,Myanmar,Malaysia,Cambodia,Laos,Singapore,Brunei,Timor-Leste
1945,70.5,23.0,18.5,17.8,16.8,5.8,4.5,1.9,0.9,0.04,0.43
1950,73.6,27.4,20.0,20.0,17.8,6.1,4.3,1.8,1.0,0.05,0.43
1955,82.0,29.2,22.4,22.5,19.5,6.7,4.8,2.0,1.4,0.06,0.45
1960,91.3,32.7,26.3,26.4,21.7,8.1,5.4,2.1,1.6,0.08,0.51
1965,103.3,37.2,31.2,31.4,24.7,9.5,6.1,2.4,1.9,0.10,0.57
1970,115.1,42.7,36.7,36.9,27.3,10.9,6.9,2.7,2.1,0.13,0.61
1975,130.5,48.0,42.1,42.1,30.1,12.3,6.0,3.2,2.3,0.17,0.56
1980,149.5,53.7,48.3,47.4,33.7,13.9,6.7,3.3,2.4,0.19,0.56
1985,165.5,60.8,54.7,51.4,37.5,15.7,7.3,3.6,2.7,0.23,0.63
1990,181.4,66.2,61.9,56.6,41.3,18.0,9.0,4.1,3.0,0.26,0.75
1995,198.3,73.5,69.9,59.4,44.5,20.7,10.8,4.8,3.5,0.29,0.79
2000,211.5,77.6,77.9,62.2,47.0,23.4,12.2,5.3,4.0,0.33,0.80
2005,226.3,83.1,85.2,65.1,49.5,25.7,13.3,5.6,4.3,0.37,0.92
2010,241.8,86.9,93.3,67.2,51.5,28.3,14.3,6.2,5.1,0.39,1.07
2015,257.6,91.7,100.7,68.2,52.8,30.3,15.2,6.7,5.5,0.42,1.18
2020,270.2,96.5,108.1,69.6,54.0,32.7,16.5,7.2,5.7,0.44,1.29
2024,277.5,98.9,117.3,71.8,54.6,34.3,17.3,7.6,6.0,0.46,1.37
