minute,Bryan Mbeumo,Matheus Cunha,Casemiro,Bruno Fernandes,Danny Welbeck,Benjamin Sesko,Luke Shaw,Diogo Dalot,Leny Yoro,Matthijs de Ligt,Senne Lammens,Charalampos Kostoulas,James Milner,Yankuba Minteh,Carlos Baleba
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1
7,4,2,0,1,2,0,0,0,0,0,0,0,0,1,1
8,4,2,0,1,2,1,0,0,0,0,0,0,0,1,1
9,4,2,0,1,2,1,0,0,0,0,0,0,0,1,1
10,4,2,1,1,2,1,0,0,0,0,0,0,0,1,3
13,4,2,1,1,2,1,0,0,0,0,0,0,0,1,3
15,4,2,1,1,5,1,0,0,0,0,3,0,0,1,3
16,6,4,2,1,5,1,0,0,0,0,3,0,0,1,3
17,6,4,2,1,5,1,0,0,0,0,3,0,0,1,4
18,6,4,2,1,5,1,0,0,1,0,3,0,0,1,4
19,6,4,2,1,5,1,0,0,1,0,4,0,0,1,4
20,6,4,2,1,5,1,0,0,1,1,4,0,0,1,4
21,6,4,2,1,5,1,0,0,1,1,6,0,0,1,4
23,6,4,3,1,5,2,0,0,2,1,6,0,0,1,4
24,6,17,3,3,5,2,0,0,2,1,6,0,0,1,4
26,6,17,3,3,5,2,0,0,2,1,6,0,0,2,4
27,6,17,3,3,5,2,0,0,2,2,6,0,0,2,4
28,6,17,4,3,5,2,0,0,2,2,6,0,0,2,4
30,6,17,4,3,5,2,0,0,2,2,9,0,0,2,4
31,6,17,4,3,5,2,0,0,2,2,9,0,0,2,4
33,6,17,5,3,5,2,0,0,2,2,9,0,0,2,5
34,6,17,20,3,5,2,5,0,2,2,9,0,0,2,5
37,6,17,20,4,5,2,5,0,2,2,9,0,0,2,5
38,6,17,20,4,5,2,5,2,2,2,9,0,0,2,5
40,6,17,20,4,5,2,5,3,2,2,9,0,0,2,5
41,6,17,20,4,5,2,5,3,2,2,9,0,0,2,8
42,6,17,20,4,5,2,5,3,2,2,9,0,0,2,8
43,6,17,21,4,5,2,5,3,2,2,9,0,0,2,8
44,8,17,22,4,5,2,5,3,2,2,9,0,0,2,8
45,8,17,22,4,5,3,5,3,2,2,9,0,0,2,8
47,8,17,23,4,5,3,5,3,2,2,9,0,0,2,9
48,8,20,23,4,5,3,5,3,2,2,9,0,0,2,9
49,8,20,23,5,5,3,5,4,2,3,9,0,0,2,9
50,8,20,23,5,5,3,5,4,2,3,9,0,0,2,9
51,8,20,23,6,5,3,5,4,3,3,9,0,0,2,9
53,8,20,23,6,5,3,5,4,3,3,9,0,0,2,9
56,8,20,23,6,5,6,5,4,3,3,9,0,0,2,9
57,8,20,23,6,5,6,5,4,3,4,9,0,0,2,9
58,8,20,23,6,5,6,5,4,3,4,9,0,0,2,10
61,21,20,23,6,5,11,5,4,3,4,9,0,0,2,10
63,21,20,23,6,5,11,5,4,3,4,9,0,0,3,10
64,21,20,23,6,5,11,5,4,3,5,9,0,0,3,10
66,21,20,23,6,5,11,5,4,3,5,9,0,0,3,10
67,21,20,23,6,5,11,5,4,3,5,9,0,0,3,10
68,21,20,23,6,8,11,5,4,3,5,9,0,0,3,10
70,21,20,23,7,8,11,5,4,3,5,9,0,0,3,10
71,21,20,23,8,8,11,5,7,3,5,9,0,0,3,10
72,24,20,23,8,8,11,5,7,3,5,9,0,0,3,10
74,24,20,23,8,21,11,5,7,3,5,9,0,0,3,10
75,24,20,23,8,21,11,5,7,3,5,12,0,0,3,10
76,24,20,23,8,21,11,5,7,3,5,12,0,0,3,10
77,24,20,23,8,21,11,5,7,3,5,15,0,0,3,10
78,24,20,23,8,21,11,5,7,3,5,18,0,0,3,10
79,24,20,23,8,21,11,5,7,3,5,18,0,0,4,10
80,24,20,23,8,21,11,5,7,3,5,18,0,0,4,10
81,24,20,23,8,21,14,5,7,3,5,18,0,0,4,10
83,24,20,23,8,21,14,5,7,3,5,18,0,0,4,10
84,24,20,23,9,21,14,5,7,3,5,18,0,0,4,10
86,24,20,23,9,21,14,5,7,3,5,18,0,0,4,10
87,24,20,23,9,21,14,5,7,3,5,18,0,0,4,10
88,24,20,23,9,24,14,5,7,3,5,21,0,1,4,10
89,24,20,24,10,24,14,5,7,3,5,21,0,2,4,10
90,24,20,24,10,24,14,5,7,3,5,21,0,3,4,10
91,24,20,24,10,24,14,5,7,3,5,21,0,3,4,10
92,24,20,24,10,24,14,5,7,3,5,21,13,3,4,10
93,24,20,24,10,24,14,5,7,3,5,21,13,3,4,10
94,24,20,24,11,24,14,5,7,3,5,21,13,3,7,10
96,37,20,24,11,24,14,5,7,3,5,21,13,8,7,10
98,37,20,24,11,27,14,5,7,3,5,21,13,8,7,10
